action_count_0,action_count_1,avg_sinr_db,avg_tos_s,dense_reward,episode,epsilon,eval_best_safety_score_so_far,eval_safety_score,eval_unsafe_extra_ho_mean,eval_unsafe_extra_rb_per_s_ue_mean,eval_unsafe_outage_time_saved_s_mean,eval_unsafe_reward_gain_mean,eval_unsafe_rlf_delta_mean,eval_unsafe_sinr_gain_db_mean,eval_unsafe_uho_delta_mean,eval_unsafe_uho_per_ho_delta_mean,ho_count,kpi_score,loss,mean_train_reward,method,outage_fraction,outage_time_s,rb_count,rb_per_s_ue,reward,rl_base_step_reward,rl_training_reward,rlf_count,scenario_idx,scenario_random_mix,scenario_seed,short_tos_count,train_standard_baseline_reward,train_standard_extra_ho,train_standard_extra_rb_per_s_ue,train_standard_outage_time_saved_s,train_standard_reward_gain,train_standard_rlf_delta,train_standard_safety_score,train_standard_sinr_gain_db,train_standard_uho_delta,train_unsafe_baseline_reward,train_unsafe_extra_ho,train_unsafe_extra_rb_per_s_ue,train_unsafe_outage_time_saved_s,train_unsafe_reward_gain,train_unsafe_rlf_delta,train_unsafe_safety_score,train_unsafe_sinr_gain_db,train_unsafe_uho_delta,uho_count,uho_per_ho
72,18,0.1818252537517455,1.1857142857142837,818.8049553335404,29,0.23888333333333334,,,,,,,,,,,14,-150.13372592500326,0.08623621612787247,0.4548916418519668,Simple-DQN-HO,0.12222222222222222,2.1999999999999997,118,6.555555555555555,-150.13372592500326,20.0,818.8049553335404,11,0,0,10009,12,34.45122284706106,9.0,3.6111111111111107,-1.3999999999999997,-184.5849487720643,10.0,-2037.1950606950436,-2.846722628156287,10.0,47.79570736679933,9.0,3.6111111111111107,-1.3999999999999997,-197.92943329180258,11.0,-2221.5425773749903,-3.348238708260708,10.0,11,0.7857142857142857
76,14,0.37511795208280696,1.1692307692307675,745.7537953172317,30,0.2385,,,,,,,,,,,13,-161.58872973131363,0.1104009747505188,0.4143076640651283,Simple-DQN-HO,0.12222222222222222,2.1999999999999997,108,6.0,-161.58872973131363,20.0,745.7537953172317,12,0,0,10009,11,34.45122284706106,8.0,3.0555555555555554,-1.3999999999999997,-196.0399525783747,11.0,-2216.9301457713586,-2.6534299298252257,10.0,47.79570736679933,8.0,3.0555555555555554,-1.3999999999999997,-209.38443709811295,12.0,-2401.277662451306,-3.1549460099296462,10.0,11,0.8461538461538461
73,17,0.8931469916013922,1.1399999999999992,944.7856047136647,31,0.23811666666666667,,,,,,,,,,,10,-122.18339334189362,0.055964257568120956,0.524880891507591,Simple-DQN-HO,0.1111111111111111,2.0,89,4.944444444444445,-122.18339334189362,20.0,944.7856047136647,10,0,0,10009,8,34.45122284706106,5.0,2.0,-1.2,-156.63461618895468,9.0,-1804.405417969568,-2.13540089030664,7.0,47.79570736679933,5.0,2.0,-1.2,-169.97910070869295,10.0,-1988.752934649515,-2.636916970411061,7.0,8,0.8
80,10,0.18867469271606288,1.418181818181816,1064.4208006876245,32,0.23773333333333332,,,,,,,,,,,11,-97.8208130878036,0.10843250155448914,0.5913448892709023,Simple-DQN-HO,0.13333333333333333,2.4,90,5.0,-97.8208130878036,20.0,1064.4208006876245,8,0,0,10009,9,34.45122284706106,6.0,2.0555555555555554,-1.5999999999999999,-132.27203593486468,7.0,-1470.0351156465817,-2.8398731891919695,8.0,47.79570736679933,6.0,2.0555555555555554,-1.5999999999999999,-145.61652045460292,8.0,-1654.382632326529,-3.3413892692963905,8.0,9,0.8181818181818182
73,17,1.787869206896111,1.7666666666666657,1392.246186067615,33,0.23735,,,,,,,,,,,6,-15.1497969801425,0.08400330692529678,0.7734701033708974,Simple-DQN-HO,0.1111111111111111,2.0,59,3.2777777777777777,-15.1497969801425,20.0,1392.246186067615,4,0,0,10009,2,34.45122284706106,1.0,0.33333333333333304,-1.2,-49.60101982720356,3.0,-635.0823771772274,-1.2406786750119214,1.0,47.79570736679933,1.0,0.33333333333333304,-1.2,-62.94550434694183,4.0,-819.4298938571744,-1.7421947551163424,1.0,2,0.3333333333333333
76,14,0.5503300953280875,0.9599999999999987,577.6420474191588,34,0.23696666666666666,,,,,,,,,,,15,-166.43590519792625,0.07181046903133392,0.3209122485661991,Simple-DQN-HO,0.12222222222222222,2.1999999999999997,121,6.722222222222222,-166.43590519792625,20.0,577.6420474191588,14,0,0,10009,13,34.45122284706106,10.0,3.7777777777777777,-1.3999999999999997,-200.88712804498732,13.0,-2575.510230284814,-2.478217786579945,12.0,47.79570736679933,10.0,3.7777777777777777,-1.3999999999999997,-214.23161256472557,14.0,-2759.857746964761,-2.979733866684366,12.0,13,0.8666666666666667
74,16,0.5456934363032979,1.0799999999999983,619.3407397960357,35,0.23658333333333334,,,,,,,,,,,15,-162.82362621202128,0.037108637392520905,0.34407818877557517,Simple-DQN-HO,0.1111111111111111,2.0,122,6.777777777777778,-162.82362621202128,20.0,619.3407397960357,14,0,0,10009,12,34.45122284706106,10.0,3.833333333333333,-1.2,-197.27484905908233,13.0,-2554.990557950292,-2.4828544456047346,11.0,47.79570736679933,10.0,3.833333333333333,-1.2,-210.6193335788206,14.0,-2739.338074630239,-2.9843705257091555,11.0,12,0.8
73,17,1.1067428224270703,1.3999999999999977,938.1974507528505,36,0.2362,,,,,,,,,,,12,-109.7320926724674,0.04196542501449585,0.5212208059738057,Simple-DQN-HO,0.1111111111111111,2.0,101,5.611111111111111,-109.7320926724674,20.0,938.1974507528505,9,0,0,10009,9,34.45122284706106,7.0,2.666666666666666,-1.2,-144.18331551952846,8.0,-1623.5269256384904,-1.9218050594809621,7.0,47.79570736679933,7.0,2.666666666666666,-1.2,-157.52780003926674,9.0,-1807.8744423184376,-2.423321139585383,7.0,8,0.6666666666666666
82,8,1.290835067544787,2.6999999999999957,1406.023962358066,37,0.23581666666666667,,,,,,,,,,,6,-14.847657335794086,0.04147288203239441,0.7811244235322587,Simple-DQN-HO,0.1111111111111111,2.0,50,2.7777777777777777,-14.847657335794086,20.0,1406.023962358066,4,0,0,10009,2,34.45122284706106,1.0,-0.16666666666666696,-1.2,-49.29888018285514,3.0,-635.2743058115816,-1.7377128143632454,1.0,47.79570736679933,1.0,-0.16666666666666696,-1.2,-62.643364702593416,4.0,-819.6218224915287,-2.2392288944676664,1.0,2,0.3333333333333333
80,10,0.6735708120774148,1.7999999999999976,1369.948336024923,38,0.23543333333333333,,,,,,,,,,,8,-38.38013434255285,0.0362166129052639,0.7610824089027353,Simple-DQN-HO,0.12222222222222222,2.1999999999999997,68,3.7777777777777777,-38.38013434255285,20.0,1369.948336024923,5,0,0,10009,3,34.45122284706106,3.0,0.833333333333333,-1.3999999999999997,-72.83135718961391,4.0,-849.2913113292751,-2.3549770698306176,2.0,47.79570736679933,3.0,0.833333333333333,-1.3999999999999997,-86.17584170935217,5.0,-1033.6388280092224,-2.8564931499350386,2.0,3,0.375
